date,company,ticker,price,market_cap,pe,pb,currency,ytd_return
2026-09-26,Luxshare,002475.SZ,52.0,402494554112,22.707424,4.053949,CNY,-0.1118701848
2026-09-26,HASCO,600741.SS,14.7,46345039872,6.651584,0.696517,CNY,-0.2708333373
2026-09-26,Tuopu,601689.SS,46.44,80705077248,32.027584,3.332377,CNY,-0.3969614681
2026-09-26,Baolong,603197.SS,29.36,6283792896,18.35,1.863772,CNY,-0.227368405
2026-09-26,BTL,603596.SS,28.55,25627674624,19.29054,3.06199,CNY,-0.1882036649
2026-09-26,AUMOVIO,AMV0.F,36.5,3611840768,6.675974,0.414181,EUR,-0.17903732
2026-09-26,NASN,2261.HK,17.8,10590720000,,-7.049202,HKD,0.0409356047
